Time,inertial-6253.76535:estCompensatedAccelX,inertial-6253.76535:estCompensatedAccelX:valid,inertial-6253.76535:estCompensatedAccelY,inertial-6253.76535:estCompensatedAccelY:valid,inertial-6253.76535:estCompensatedAccelZ,inertial-6253.76535:estCompensatedAccelZ:valid,inertial-6253.76535:estAngularRateX,inertial-6253.76535:estAngularRateX:valid,inertial-6253.76535:estAngularRateY,inertial-6253.76535:estAngularRateY:valid,inertial-6253.76535:estAngularRateZ,inertial-6253.76535:estAngularRateZ:valid,inertial-6253.76535:estRoll,inertial-6253.76535:estRoll:valid,inertial-6253.76535:estPitch,inertial-6253.76535:estPitch:valid,inertial-6253.76535:estYaw,inertial-6253.76535:estYaw:valid,inertial-6253.76535:estLinearAccelX,inertial-6253.76535:estLinearAccelX:valid,inertial-6253.76535:estLinearAccelY,inertial-6253.76535:estLinearAccelY:valid,inertial-6253.76535:estLinearAccelZ,inertial-6253.76535:estLinearAccelZ:valid
0.232005119,-4.240136623,1,-3.847138405,1,-7.920465946,1,-0.014105537,1,-0.03421421,1,0.02858327,1,0.45929566,1,-0.442803681,1,0.313740462,1,-0.049586296,1,0.070411921,1,0.000628471,1
0.236004606,-4.344736099,1,-3.839381695,1,-7.993312359,1,-0.011412793,1,-0.030859418,1,0.03125738,1,0.459216684,1,-0.442975283,1,0.313802242,1,-0.15266943,1,0.077224255,1,-0.072553158,1
0.240005881,-4.246395111,1,-3.826622248,1,-7.891867161,1,-0.016237659,1,-0.02832065,1,0.032722667,1,0.459138989,1,-0.443136394,1,0.313878089,1,-0.052905083,1,0.089069128,1,0.028590202,1
0.244003326,-4.250426292,1,-3.875023603,1,-7.874276161,1,-0.008496289,1,-0.037518725,1,0.035189744,1,0.459054649,1,-0.443313986,1,0.31395185,1,-0.055366993,1,0.039669275,1,0.045844555,1
0.248002559,-4.336440086,1,-3.926708221,1,-7.951215267,1,-0.012106401,1,-0.028946135,1,0.036371008,1,0.458982825,1,-0.443502367,1,0.314027846,1,-0.139716625,1,-0.012934208,1,-0.031522274,1
0.252004087,-4.300186634,1,-3.793533802,1,-7.98620224,1,-0.013331451,1,-0.033683125,1,0.031739745,1,0.458880842,1,-0.443684548,1,0.314108312,1,-0.101853371,1,0.119093418,1,-0.066795826,1
0.256001532,-4.387693405,1,-3.965277433,1,-7.796399117,1,-0.018920118,1,-0.036960509,1,0.03968101,1,0.458806098,1,-0.443900406,1,0.314162433,1,-0.187454224,1,-0.053643942,1,0.122486115,1
0.260000765,-4.31087923,1,-3.821476221,1,-7.925535202,1,-0.014588429,1,-0.029649617,1,0.033805549,1,0.458703279,1,-0.444070101,1,0.314237088,1,-0.109140873,1,0.089027405,1,-0.006887436,1
0.264003068,-4.362530231,1,-3.867676497,1,-7.894512653,1,-0.017587978,1,-0.031523604,1,0.03542234,1,0.458601773,1,-0.444243699,1,0.314316779,1,-0.159258842,1,0.04170084,1,0.023879051,1
0.268001527,-4.405563354,1,-3.852164984,1,-7.872491837,1,-0.017142363,1,-0.032140832,1,0.032247316,1,0.458497316,1,-0.444414824,1,0.314396381,1,-0.200781345,1,0.056067228,1,0.045663357,1
0.272001266,-4.373062134,1,-3.860753775,1,-7.937279224,1,-0.010168286,1,-0.028036429,1,0.028509833,1,0.458412468,1,-0.444574565,1,0.314469635,1,-0.166869164,1,0.046508312,1,-0.019396305,1
0.276002824,-4.347872734,1,-3.830111027,1,-7.931930542,1,-0.015132294,1,-0.032824203,1,0.026859451,1,0.458332777,1,-0.444733083,1,0.314523906,1,-0.140280247,1,0.076225996,1,-0.014332294,1
0.280000508,-4.345123291,1,-3.934560061,1,-7.819580555,1,-0.00984375,1,-0.041391995,1,0.030808203,1,0.458260834,1,-0.444922328,1,0.314561337,1,-0.135859966,1,-0.029145241,1,0.097583771,1
0.283999741,-4.391354561,1,-3.777767181,1,-7.942918301,1,-0.015553445,1,-0.025356675,1,0.026713651,1,0.458177149,1,-0.445082933,1,0.314615011,1,-0.180673599,1,0.126685858,1,-0.026033878,1
0.288000762,-4.32011795,1,-3.806699991,1,-7.974076748,1,-0.01105821,1,-0.028327812,1,0.025687475,1,0.45810768,1,-0.44523111,1,0.314679056,1,-0.108129025,1,0.096927881,1,-0.057479382,1
0.292004108,-4.36587286,1,-3.747918367,1,-7.931333542,1,-0.006776694,1,-0.030530144,1,0.025664451,1,0.458054781,1,-0.445382446,1,0.314715594,1,-0.152548313,1,0.155009031,1,-0.015100479,1
0.29600358,-4.38971138,1,-3.832506895,1,-7.799120426,1,-0.014737989,1,-0.028520444,1,0.030397356,1,0.457992226,1,-0.44553256,1,0.314760059,1,-0.175061703,1,0.069643974,1,0.116786003,1
0.300005108,-4.347893238,1,-3.80800581,1,-7.88009882,1,-0.00810435,1,-0.026165657,1,0.027865548,1,0.457925111,1,-0.445674956,1,0.314809859,1,-0.131986618,1,0.093348742,1,0.035531998,1
0.304002553,-4.32178545,1,-3.855149269,1,-7.9059515,1,-0.008774538,1,-0.02424698,1,0.024660392,1,0.457867146,1,-0.445812643,1,0.314866543,1,-0.104664326,1,0.045490503,1,0.009385586,1
0.308001786,-4.342303753,1,-3.845957041,1,-7.977618694,1,-0.005158005,1,-0.031304747,1,0.023069125,1,0.457820475,1,-0.445952237,1,0.314902216,1,-0.123950958,1,0.054053068,1,-0.062627316,1
0.312004089,-4.327277184,1,-3.932740927,1,-7.772036552,1,-0.013689063,1,-0.036099128,1,0.021383915,1,0.457781255,1,-0.446118146,1,0.314912885,1,-0.107460499,1,-0.033350229,1,0.142479897,1
0.316002309,-4.408429623,1,-3.800683498,1,-7.932214737,1,-0.006413999,1,-0.031955421,1,0.027230166,1,0.457720101,1,-0.446283281,1,0.314946055,1,-0.187155724,1,0.097914219,1,-0.018086433,1
0.320001781,-4.357105732,1,-3.899008274,1,-7.855976582,1,-0.008346684,1,-0.025672855,1,0.02655961,1,0.457667112,1,-0.446434468,1,0.314981788,1,-0.134498119,1,-0.001111984,1,0.057785034,1
0.324003339,-4.366363525,1,-3.846755028,1,-7.913768768,1,-0.00452413,1,-0.0292053,1,0.020159123,1,0.457618237,1,-0.44657433,1,0.315022349,1,-0.142522335,1,0.050493956,1,-0.00034523,1
0.328000754,-4.389545918,1,-3.898848772,1,-7.988423824,1,-0.009195372,1,-0.024300808,1,0.024703192,1,0.457573891,1,-0.446703643,1,0.315063983,1,-0.164564133,1,-0.002191544,1,-0.075316906,1
